thisN,trials.key_resp.corr,trials.key_resp.rt,,,,SeqRT,ranRT,,,,,
14,1,0.8231548,,,,,,,,,,
15,1,0.953877,,,,,,,,,,
16,1,0.6349448,,,,,,,,,,
17,1,0.6145857,,,,,,,,,,
18,1,0.7295677,,,,,,,,,,
19,1,0.851055,,,,,,,,,,
20,1,0.5980963,,,,,,,,,,
21,1,0.7694366,,,,,,,,,,
22,1,0.6912424,,,,,,,,,,
23,1,0.7515002,,,,,,,,,,
24,1,0.6327441,,,,,,,,,,
25,1,0.8785983,,,,,,,,,,
26,1,0.7242356,,,,,,,,,,
27,1,1.0336287,,,,,,,,,,
28,1,0.5712589,,,,,,,,,,
29,1,0.7564007,,,,,,,,,,
30,1,0.6502819,,,,,,,,,,
31,1,1.0365361,,,,,,,,,,
32,1,0.6090907,,,,,,,,,,
33,1,2.5024833,,,,,,,,,,
34,1,0.8065723,,,,,,,,,,
35,1,0.8354353,,,,,,,,,,
36,0,1.3046846,,,,,,,,,,
37,1,0.5659472,,,,,,,,,,
38,1,0.9096653,,,,,,,,,,
39,1,0.7894329,,,,,,,,,,
40,1,0.7031513,,,,,,,,,,
41,1,1.2116824,,,,,,,,,,
42,1,0.6346164,,,,,,,,,,
43,1,0.6876201,,,,,,,,,,
44,1,1.6755658,,,,,,,,,,
45,1,0.7892297,,,,,,,,,,
46,1,1.3179026,,,,,,,,,,
47,1,1.1817356,,,,,,,,,,
48,1,0.9404613,,,,,,,,,,
49,1,0.838959,,,,,,,,,,
50,1,0.8492233,,,,,,,,,,
51,0,0.3020421,,,,,,,,,,
52,0,0.3559936,,,,,,,,,,
53,1,0.8286429,,,,,,,,,,
54,1,0.367815,,,,,,,,,,
55,0,0.3732539,,,,,,,,,,
56,0,0.1857972,,,,,,,,,,
57,1,0.7629699,,,,,,,,,,
58,1,0.6174529,,,,,,,,,,
59,1,0.7948529,,,,,,,,,,
60,1,0.9758604,,,,,,,,,,
61,0,1.2137355,,,,,,,,,,
62,1,0.5979366,,,,,,,,,,
63,1,0.6766941,,,,,,,,,,
64,1,0.7159883,,,,,,,,,,
65,1,1.373189,,,,,,,,,,
66,0,0.6703817,,,,,,,,,,
67,1,1.4575337,,,,,,,,,,
68,1,0.6144572,,,,,,,,,,
69,1,0.7845638,,,,,,,,,,
70,1,0.8498265,,,,,,,,,,
71,1,0.6944782,,,,,,,,,,
72,1,1.1268466,,,,,,,,,,
73,1,0.7888341,,,,,,,,,,
74,1,0.7019552,,,,,,,,,,
75,1,0.6819835,,,,,,,,,,
76,1,0.6366244,,,,,,,,,,
77,1,0.8562948,,,,,,,,,,
78,1,0.8315455,,,,,,,,,,
79,1,0.7067074,,,,,,,,,,
80,1,0.9165412,,,,,,,,,,
81,1,0.7182485,,,,,,,,,,
82,1,0.8745008,,,,,,,,,,
83,1,0.7227235,,,,,,,,,,
84,1,0.7840916,,,,,,,,,,
85,1,1.1432839,,,,,,,,,,
86,1,0.8554052,,,,,,,,,,
87,1,2.0491805,,,,,,,,,,
88,1,0.6807132,,,,,,,,,,
89,1,0.7190468,,,,,,,,,,
90,1,0.7632241,,,,,,,,,,
91,1,0.6883144,,,,,,,,,,
92,1,0.7630453,,,,,,,,,,
93,1,0.5973687,,,,,,,,,,
94,1,0.7201943,,,,,,,,,,
95,1,0.802139,,,,,,,,,,
96,1,1.5696322,,,,,,,,,,
97,1,0.7990844,,,,,,,,,,
98,1,0.9037234,,,,,,,,,,
99,1,0.7381894,,,,,,,,,,
100,1,1.6355879,,,,,,,,,,
101,1,0.704512,,,,,,,,,,
102,1,0.7794247,,,,,,,,,,
103,1,0.6198407,,,,,,,,,,
104,1,0.6396725,,,,,,,,,,
105,1,0.6563641,,,,,,,,,,
106,1,0.6662058,,,,,,,,,,
107,1,0.664986,,,,,,,,,,
108,1,1.1490872,,,,,,,,,,
109,1,0.820052,,,,,,,,,,
110,1,0.6179627,,,,,,,,,,
111,1,0.8237924,,,,,,,,,,
112,1,0.8064424,,,,,,,,,,
113,1,0.7357906,,,,,,,,,,
114,1,0.7479998,,,,,,,,,,
115,1,0.9864645,,,,,,,,,,
116,1,0.8028931,,,,,,,,,,
117,1,0.7145354,,,,,,,,,,
118,1,0.9874875,,,,,,,,,,
119,1,0.7427483,,,,,,,,,,
120,1,0.695909,,,,,,,,,,
121,1,0.6918447,,,,,,,,,,
122,0,0.4907782,,,,,,,,,,
123,0,0.4256047,,,,,,,,,,
124,1,0.6013249,,,,,,,,,,
125,1,0.6479151,,,,,,,,,,
126,1,0.6109061,,,,,,,,,,
127,1,0.6313683,,,,,,,,,,
128,1,0.7684533,,,,,,,,,,
129,1,0.7629765,,,,,,,,,,
130,1,0.9427378,,,,,,,,,,
131,1,0.8781233,,,,,,,,,,
132,1,0.6735697,,,,,,,,,,
133,1,0.9876489,,,,,,,,,,
134,1,0.7792338,,,,,,,,,,
135,1,0.6479183,,,,,,,,,,
136,1,0.760296,,,,,,,,,,
137,1,0.7733078,,,,,,,,,,
138,1,0.8194549,,,,,,,,,,
139,1,0.7280017,,,,,,,,,,
140,1,0.8259592,,,,,,,,,,
141,1,0.6118833,,,,,,,,,,
142,1,0.8979908,,,,,,,,,,
143,1,0.9097392,,,,,,,,,,
144,1,0.8262194,,,,,,,,,,
145,1,0.909831,,,,,,,,,,
146,1,0.727013,,,,,,,,,,
147,1,0.622615,,,,,,,,,,
148,1,0.8793756,,,,,,,,,,
149,1,0.6759652,,,,,,,,,,
150,1,0.6223122,,,,,,,,,,
151,1,0.8414741,,,,,,,,,,
152,1,0.6687655,,,,,,,,,,
153,1,0.7412239,,,,,,,,,,
154,1,0.9541355,,,,,,,,,,
155,1,1.2584307,,,,,,,,,,
156,0,0.3227871,,,,,,,,,,
157,1,0.1022595,,,,,,,,,,
158,0,0.2640334,,,,,,,,,,
159,1,0.7994401,,,,,,,,,,
160,1,1.1773491,,,,,,,,,,
161,1,0.818321,,,,,,,,,,
162,1,0.8011185,,,,,,,,,,
163,1,0.6014722,,,,,,,,,,
164,1,0.7276075,,,,,,,,,,
165,1,0.7366154,,,,,,,,,,
166,1,0.7270225,,,,,,,,,,
167,1,0.7225348,,,,,,,,,,
168,1,0.7255579,,,,,,,,,,
169,1,0.8870373,,,,,,,,,,
170,1,0.8081746,,,,,,,,,,
171,1,0.6159035,,,,,,,,,,
172,1,0.6957188,,,,,,,,,,
173,1,0.8778475,,,,,,,,,,
174,1,0.7898206,,,,,,,,,,
175,1,0.8022641,,,,,,,,,,
176,1,0.6092584,,,,,,,,,,
177,1,0.8134468,,,,,,,,,,
178,0,0.3363129,,,,,,,,,,
179,1,0.7007756,,,,,,,,,,
180,1,0.756754,,,,,,,,,,
181,1,0.6462198,,,,,,,,,,
182,1,0.6530165,,,,,,,,,,
183,1,0.2902178,,,,,,,,,,
184,1,0.2022429,,,,,,,,,,
185,0,0.2082851,,,,,,,,,,
186,0,0.43077,,,,,,,,,,
187,0,0.3879922,,,,,,,,,,
188,1,1.0042119,,,,,,,,,,
189,1,0.7022622,,,,,,,,,,
190,1,0.7604073,,,,,,,,,,
191,1,0.7457492,,,,,,,,,,
192,1,1.2846877,,,,,,,,,,
193,1,0.9260599,,,,,,,,,,
194,1,0.6911696,,,,,,,,,,
195,1,0.9931608,,,,,,,,,,
196,1,0.6322021,,,,,,,,,,
197,1,0.9659407,,,,,,,,,,
198,1,0.7285988,,,,,,,,,,
199,1,0.6292663,,,,,,,,,,
